tick,prey,predator,energy
311,904,1000,0
312,907,1000,0
313,905,1000,0
314,902,1000,0
315,907,1000,0
316,889,1000,0
317,913,1000,0
318,889,1000,0
319,905,1000,0
320,900,1000,0
321,897,1000,0
322,907,1000,0
323,902,1000,0
324,900,1000,0
325,902,1000,0
326,917,1000,0
327,903,1000,0
328,913,1000,0
329,899,1000,0
330,891,1000,0
331,911,1000,0
332,899,1000,0
333,909,1000,0
334,905,1000,0
335,903,1000,0
336,909,1000,0
337,909,1000,0
338,892,1000,0
339,894,1000,0
340,919,1000,0
341,895,1000,0
342,895,1000,0
343,918,1000,0
344,898,1000,0
345,902,1000,0
346,913,1000,0
347,916,1000,0
348,899,1000,0
349,914,1000,0
350,909,1000,0
351,907,1000,0
352,903,1000,0
353,909,1000,0
354,913,1000,0
355,897,1000,0
356,899,1000,0
357,897,1000,0
358,892,1000,0
359,910,1000,0
360,907,1000,0
361,906,1000,0
362,910,1000,0
363,898,1000,0
364,900,1000,0
365,899,1000,0
366,913,1000,0
367,882,1000,0
368,902,1000,0
369,914,1000,0
370,905,1000,0
371,893,1000,0
372,892,1000,0
373,885,1000,0
374,895,1000,0
375,916,1000,0
376,892,1000,0
377,899,1000,0
378,901,1000,0
379,904,1000,0
380,910,1000,0
381,902,1000,0
382,895,1000,0
383,899,1000,0
384,899,1000,0
385,891,1000,0
386,919,1000,0
387,897,1000,0
388,934,1000,0
389,902,1000,0
390,911,1000,0
391,886,1000,0
392,917,1000,0
393,898,1000,0
394,899,1000,0
395,902,1000,0
396,913,1000,0
397,897,1000,0
398,897,1000,0
399,911,1000,0
400,904,1000,0
401,918,1000,0
402,893,1000,0
403,906,1000,0
404,882,1000,0
405,895,1000,0
406,904,1000,0
407,899,1000,0
408,899,1000,0
409,905,1000,0
410,894,1000,0
411,894,1000,0
412,899,1000,0
413,886,1000,0
414,918,1000,0
415,892,1000,0
416,905,1000,0
417,903,1000,0
418,893,1000,0
419,911,1000,0
420,898,1000,0
421,925,1000,0
422,904,1000,0
423,912,1000,0
424,897,1000,0
425,915,1000,0
426,897,1000,0
427,893,1000,0
428,902,1000,0
429,924,1000,0
430,906,1000,0
431,897,1000,0
432,911,1000,0
433,875,1000,0
434,911,1000,0
435,894,1000,0
436,896,1000,0
437,902,1000,0
438,898,1000,0
439,905,1000,0
440,915,1000,0
441,889,1000,0
442,897,1000,0
443,927,1000,0
444,898,1000,0
445,892,1000,0
446,916,1000,0
447,893,1000,0
448,908,1000,0
449,913,1000,0
450,899,1000,0
451,892,1000,0
452,922,1000,0
453,895,1000,0
454,907,1000,0
455,904,1000,0
456,904,1000,0
457,919,1000,0
458,872,1000,0
459,899,1000,0
460,906,1000,0
461,896,1000,0
462,898,1000,0
463,915,1000,0
464,884,1000,0
465,918,1000,0
466,901,1000,0
467,887,1000,0
468,908,1000,0
469,911,1000,0
470,906,1000,0
471,910,1000,0
472,908,1000,0
473,904,1000,0
474,913,1000,0
475,888,1000,0
476,897,1000,0
477,914,1000,0
478,906,1000,0
479,904,1000,0
